;Job Title;min_salary;max_salary;Rating;Company Name;python;excel;hadoop;spark;aws;tableau;big_data
144;Data Scientist;90;109;2.9;SPECTRUM;1;1;1;0;0;0;1
145;Staff Scientist- Upstream PD;90;109;2.7;Advanced BioScience Laboratories;0;0;0;0;0;0;0
146;Data Engineer;90;109;4.2;Procore Technologies;1;1;1;1;1;0;0
147;Sr Scientist - Extractables & Leachables;90;109;3.5;Ritedose;0;1;0;0;0;0;0
148;ELISA RESEARCH SCIENTIST (CV-15);90;109;0.0;Covid-19 Search Partners;0;0;0;0;0;0;0
149;Sr Data Scientist;90;109;4.2;bioMérieux;1;1;0;0;0;0;0
150;Data Scientist;101;165;4.5;Novetta;1;1;0;0;1;0;0
151;Experienced Data Scientist;101;165;4.4;Guzman & Griffin Technologies (GGTI);1;1;1;1;0;1;0
152;Machine Learning Engineer;101;165;0.0;Radical Convergence;1;0;0;0;0;0;0
153;Data Scientist;101;165;3.5;Leidos;0;0;0;0;1;0;1
154;Data Scientist;101;165;4.5;Demandbase;1;0;0;1;1;0;1
155;Say Business Data Analyst;101;165;4.1;Shelter Insurance;1;1;0;0;1;1;0
156;Geospatial Data Scientist;101;165;3.5;Maxar Technologies;0;0;0;0;0;0;0
157;Data Analyst;101;165;2.7;USAC;1;1;0;0;0;0;0
158;Computational Scientist;101;165;3.4;General Dynamics Information Technology;0;0;0;0;0;0;0
159;Data Scientist;101;165;4.4;Offerpad;1;1;0;0;0;0;0
160;Senior Data Analyst;101;165;4.0;Autodesk;1;0;1;1;0;0;1
161;Senior Data Analyst;101;165;4.2;Autodesk;1;0;1;1;0;1;1
162;Data Engineer;101;165;3.5;Magna International Inc.;1;0;1;1;1;0;1
163;Sr Data Analyst;101;165;2.3;United BioSource;0;1;0;0;0;1;0
164;DATA SCIENTIST;101;165;3.4;Kelly;0;1;0;0;0;0;0
165;Machine Learning Scientist - Bay Area, CA;101;165;3.3;Tempus Labs;1;0;0;0;1;0;0
166;Data Scientist;101;165;4.7;C3.ai;1;1;0;0;0;0;0
167;Senior Data Scientist - Algorithms;101;165;3.9;Quartet Health;1;0;1;0;0;0;0
168;Data Analyst;101;165;3.3;Midland Credit Management;1;1;0;0;0;0;0
169;Senior Data & Machine Learning Scientist;101;165;3.3;Tempus Labs;1;0;0;0;1;0;0
170;Data Engineer;101;165;4.4;Resurgent Capital Services;1;1;0;0;1;0;0
171;Data Scientist - Statistics, Early Career;56;97;3.7;PNNL;0;1;0;0;0;0;0
172;Data Scientist;56;97;3.5;Buckman;1;0;1;0;0;0;0
173;Machine Learning Engineer;56;97;3.6;Buckman;1;0;0;0;0;0;0
174;Research Scientist - Patient-Centered Research (Remote);56;97;3.8;Evidera;0;1;0;0;0;0;0
175;Jr. Business Data Analyst (position added 6/12/2020);56;97;4.7;webfx.com;0;1;0;0;0;0;0
176;Sr. Data Scientist II;56;97;3.5;Argo Group US;1;0;1;1;1;0;0
177;Data Scientist;56;97;3.3;BWX Technologies;1;0;0;0;0;0;0
178;Senior Data Analyst;56;97;3.9;Life360;1;0;0;0;0;1;0
179;Lead Data Scientist;56;97;3.7;MassMutual;1;0;1;1;1;0;0
180;Production Engineer - Statistics/Data Analysis;56;97;3.9;Natera;1;1;0;0;1;0;0
181;Statistical Scientist;56;97;4.0;Genentech;1;1;0;0;1;0;0
182;Computational Behavioral Scientist;56;97;4.2;Ntrepid;1;0;0;0;0;0;0
183;Principal Data Scientist - Machine Learning;56;97;3.6;Constant Contact;1;1;1;1;1;0;1
184;Principal Machine Learning Scientist;56;97;4.7;Sage Intacct;1;0;0;0;0;0;0
185;Data Engineer;56;97;4.1;Shape Security;1;0;0;0;1;0;1
186;Principal Data Scientist;56;97;4.0;AstraZeneca;1;1;0;0;0;0;0
187;Data Scientist;56;97;5.0;SkillSoniq;1;0;0;0;0;0;0
188;Senior Data Scientist - R&D Oncology;56;97;4.0;AstraZeneca;1;0;0;0;0;0;0
189;Data Scientist;56;97;4.3;Joby Aviation;1;1;0;1;1;0;1
190;Health Plan Data Analyst, Sr;56;97;3.8;Cook Children's Health Care System;0;0;0;0;0;0;0
191;Principal Scientist/Associate Director, Quality Control and Analytical Technologies;56;97;3.8;Rubius Therapeutics;0;0;0;0;0;0;0
192;Analytics - Business Assurance Data Analyst;56;97;4.6;GreatAmerica Financial Services;0;1;0;0;0;1;0
193;Data Scientist;79;106;3.4;Spectrum Communications and Consulting;0;0;0;0;0;0;0
194;DATA SCIENTIST;79;106;4.1;Coverent;1;1;0;0;0;0;0
195;Machine Learning Engineer;79;106;3.7;Mteq;1;0;0;0;0;0;0
196;Data Engineer;79;106;4.4;Rocket Lawyer;1;1;1;0;0;0;1
197;Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab;79;106;3.9;Novartis;0;0;0;0;0;0;0
198;Data Engineer;79;106;3.6;Alion Science & Technology;1;1;0;0;1;0;1
199;Data Science Instructor;79;106;4.5;Novetta;0;1;0;0;0;0;0
200;Senior Business Intelligence Analyst;79;106;3.7;Protolabs;0;0;0;0;0;0;0
201;In-Line Inspection Data Analyst;79;106;2.9;Quest Integrity;0;1;0;0;0;0;0
202;Data Scientist - TS/SCI FSP or CI Required;79;106;5.0;Phoenix Operations Group;1;0;0;1;0;0;1
203;DATA SCIENTIST;79;106;3.4;Dice.com;1;1;0;0;1;0;0
204;Senior Data Scientist;79;106;3.5;Maxar Technologies;1;1;0;0;0;0;1
205;Data Scientist - TS/SCI Required;79;106;5.0;Phoenix Operations Group;1;0;0;1;0;0;1
206;Data Science Software Engineer;79;106;4.8;Klaviyo;1;0;0;0;0;0;0
207;ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR;79;106;3.9;Southwest Research Institute;1;1;0;0;0;0;0
208;AI Ops Data Scientist;79;106;4.0;AstraZeneca;1;0;1;1;1;0;0
209;Intelligence Data Analyst, Senior;79;106;4.3;The Buffalo Group;1;0;0;0;0;0;0
210;Analytics Manager - Data Mart;79;106;3.5;Central California Alliance for Health;0;0;0;0;0;1;0
211;Data Modeler (Analytical Systems);79;106;3.7;MassMutual;0;1;1;1;0;0;1
212;Senior Machine Learning Scientist - Bay Area, CA;79;106;3.3;Tempus Labs;1;0;0;0;1;0;0
213;Report Writer-Data Analyst;79;106;3.1;Security Finance Corporation of Spartanburg;0;0;0;0;0;0;0
214;Data Scientist/Machine Learning;71;123;4.3;PulsePoint;1;0;1;1;0;0;1
215;Data Scientist - Risk;71;123;4.2;LSQ;1;1;1;1;1;1;1
216;Data Engineer;71;123;4.4;Resurgent Capital Services;1;1;0;0;1;0;0
217;Staff Data Scientist - Pricing;71;123;3.6;Opendoor;1;0;0;0;1;0;0
218;Data Scientist;71;123;4.5;Global Data Management Inc;1;0;0;0;0;0;0
219;Data Scientist;71;123;3.0;Photon Infotech;1;1;1;1;0;0;1
220;DATA SCIENTIST;71;123;5.0;REE;1;0;0;0;0;0;1
221;Machine Learning Engineer;71;123;3.6;Riverside Research Institute;1;0;0;0;0;0;0
